# Platforms found: 1
# (0) Advanced Micro Devices, Inc.: OpenCL 1.2 AMD-APP (1573.4)
# Devices found: 2
# (0) Hawaii
# (1) AMD Phenom(tm) II X4 955 Processor
# Enter index of device to use: 0
#
# Using device: Hawaii
# stride     time       GB/sec
     1        0.00109        220.183
     2        0.002025        118.519
     3        0.003026        79.3126
     4        0.003911        61.3654
     5        0.00515        46.6019
     6        0.006224        38.5604
     7        0.007256        33.0761
     8        0.007685        31.2297
     9        0.009201        26.0841
     10        0.010038        23.9091
     11        0.010782        22.2593
     12        0.011546        20.7864
     13        0.012666        18.9484
     14        0.013456        17.8359
     15        0.014238        16.8563
     16        0.014342        16.7341
     17        0.015833        15.1582
     18        0.016072        14.9328
     19        0.016318        14.7077
     20        0.016113        14.8948
     21        0.016611        14.4483
     22        0.016743        14.3343
     23        0.016828        14.2619
     24        0.016698        14.373
     25        0.01691        14.1928
     26        0.017249        13.9139
     27        0.017067        14.0622
     28        0.016928        14.1777
     29        0.017321        13.856
     30        0.016969        14.1434
     31        0.016771        14.3104
     32        0.015675        15.311

